title,slug,excerpt,author,category,read_time,status,content,thumbnail_url,thumbnail_alt
"Roasted red pepper hummus","roasted-red-pepper-hummus-468","Hummus is great as a spread for wraps and sandwiches. It can be kept in the fridge for up to one week.","FXMed Team","General Wellness","5 min read","draft","","",""
"Roasted red bell pepper pineapple salsa","roasted-red-bell-pepper-pineapple-salsa-469","In a rush? Use roasted red peppers from a jar instead of roasting your own.","FXMed Team","General Wellness","5 min read","draft","","",""
"Roasted red pepper pesto","roasted-red-pepper-pesto-470","Traditional pesto is made with basil and pine nuts, but you can experiment with many variations. This one's a winner!","FXMed Team","General Wellness","5 min read","draft","","",""
"Seared scallops","seared-scallops-471","The secret to making seared scallops at home is a hot pan, a little olive oil and fresh herbs.","FXMed Team","General Wellness","5 min read","draft","","",""
"Sesame ginger shrimp","sesame-ginger-shrimp-472","Memorize the marinade for this easy, one-skillet sesame ginger shrimp. It's good on chicken, tofu, pork and beef, and makes a great dip for kebabs.","FXMed Team","General Wellness","5 min read","draft","","",""
"Shepherd's pie","shepherds-pie-473","Leaving the peel on the potatoes adds fiber to this savory Irish meat pie, which is topped with a crust of mashed potatoes.","FXMed Team","General Wellness","5 min read","draft","","",""
"Shrimp kebabs","shrimp-kebabs-474","This recipe calls for fresh tarragon and rosemary, but you can substitute dried instead. Or try fresh cilantro and lime juice.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"6-grain hot cereal","6-grain-hot-cereal-475","Make a big batch of this cereal on the weekend and reheat all week. Top with fruit or yogurt to add natural sweetness.","FXMed Team","General Wellness","5 min read","draft","","",""
"Smoked gouda and Vegetable poached egg sandwich","smoked-gouda-and-vegetable-poached-egg-sandwich-476","This open-faced breakfast sandwich is a savory stack of roasted red peppers, smoked Gouda cheese and a poached egg.","FXMed Team","Pain Management","5 min read","draft","","",""
"Smoked Gouda poblano turkey burger","smoked-gouda-poblano-turkey-burger-477","This turkey burger is bursting with flavor, thanks to poblano peppers, smoked Gouda cheese, lime juice and cumin in the patty mixture.","FXMed Team","General Wellness","5 min read","draft","","",""
"Smoked Gouda vegetable risotto","smoked-gouda-vegetable-risotto-478","Smoked gouda, crimini mushrooms and sweet grape tomatoes are a winning combination in this brown rice risotto.","FXMed Team","General Wellness","5 min read","draft","","",""
"Smoky frittata","smoky-frittata-479","If you can't find smoked Gouda, add 1/4 teaspoon of liquid smoke to regular Gouda cheese.","FXMed Team","General Wellness","5 min read","draft","","",""
"Soba noodle stir-fry with coconut curry sauce","soba-noodle-stir-fry-with-coconut-curry-sauce-480","Using coconut milk and shredded coconut in this soba noodle curry adds depth of flavor.","FXMed Team","General Wellness","5 min read","draft","","",""
"Soft chocolate cake","soft-chocolate-cake-481","Be sure to use two round cake pans, unless using a deeper pan. The coffee helps give the chocolate its deep color.","FXMed Team","General Wellness","5 min read","draft","","",""
"Spinach and Mushroom souffle","spinach-and-mushroom-souffle-482","When you cook with pungent cheeses, you only need a small amount for strong flavor, which saves on calories and fat.","FXMed Team","General Wellness","5 min read","draft","","",""
"Steak with chimichurri sauce","steak-with-chimichurri-sauce-483","Before grilling skirt steak, try marinating it in chimichurri -; a tangy sauce from Argentina made with parsley and garlic.","FXMed Team","General Wellness","5 min read","draft","","",""
"Strawberry mockarita","strawberry-mockarita-484","This nonalcoholic cocktail is a festive way to start or end your meal.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"Stuffed acorn squash","stuffed-acorn-squash-485","This recipe works with other squashes and grains. Butternut squash and brown rice or couscous are great options.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"Quinoa stuffed peppers","quinoa-stuffed-peppers-486","Stuffed peppers are often made with ground meat. This meatless version is made with quinoa, walnuts, tomatoes and zucchini.","FXMed Team","General Wellness","5 min read","draft","","",""
"Sundried tomato pesto mayo","sundried-tomato-pesto-mayo-487","This homemade sundried tomato pesto mayonnaise can be spread on your favorite sandwich or used as a vegetable dip. ","FXMed Team","General Wellness","5 min read","draft","","",""
"Sweet potato gnocchi","sweet-potato-gnocchi-488","Baking sweet potatoes for this homemade gnocchi will bring out their natural sweetness, but you can microwave or boil them if you're in a hurry.","FXMed Team","General Wellness","5 min read","draft","","",""
"Sweet potato souffle","sweet-potato-souffle-489","Baked souffles have a reputation for being tricky, but they're actually very easy. This sweet potato version makes a unique side dish.","FXMed Team","General Wellness","5 min read","draft","","",""
"Thai peanut beef","thai-peanut-beef-490","Making this Thai peanut beef dish is quicker than ordering takeout. Serve with brown rice and broccoli or bok choy.","FXMed Team","General Wellness","5 min read","draft","","",""
"Thyme roasted beets","thyme-roasted-beets-491","If you don't want to peel hot beets, you can peel and cut raw beets, toss with oil and seasonings and roast for about 25 minutes.","FXMed Team","General Wellness","5 min read","draft","","",""
"Tomato basil pesto sauce","tomato-basil-pesto-sauce-492","To make this sauce in less time, use canned, diced tomatoes with no added salt instead of fresh Roma tomatoes. They will cook down faster.","FXMed Team","General Wellness","5 min read","draft","","",""
"Turkey breast burgers for two","turkey-breast-burgers-for-two-493","This meatloaf-style turkey burger mixture makes tasty burgers. ","FXMed Team","General Wellness","5 min read","draft","","",""
"Turkey pesto melt","turkey-pesto-melt-494","A thin layer of homemade pesto mayonnaise dresses up this turkey sandwich. It's perfect for a weeknight dinner.","FXMed Team","General Wellness","5 min read","draft","","",""
"Tzatziki sauce","tzatziki-sauce-495","Tzatziki is a Greek yogurt sauce. It's a tangy counterpoint to barbecued meats, kebabs and falafel. You can also use it as a vegetable dip.","FXMed Team","General Wellness","5 min read","draft","","",""
"Vegetable lasagna roll-ups","vegetable-lasagna-roll-ups-496","This meatless take on lasagna is packed with bold flavors. Use any leftover pesto spread on sandwiches or in pasta salad.","FXMed Team","General Wellness","5 min read","draft","","",""
"Vegetable stir-fry","vegetable-stir-fry-497","This is the ultimate clean-out-the-refrigerator meal. Try bean sprouts, sugar snap peas or snow peas. Add leftover grilled chicken, sauteed shrimp or tofu.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"Comforting White bean escarole Soup","comforting-white-bean-escarole-soup-498","This hearty vegetarian soup is packed with cannellini beans, sun-dried tomatoes and escarole. ","FXMed Team","Heart Health","5 min read","draft","","",""
"Whole-wheat orzo with roasted vegetables","whole-wheat-orzo-with-roasted-vegetables-499","This dish flips the typical pasta-to-vegetable ratio, combining a small amount of whole-wheat orzo with a whole pan full of sweet roasted vegetables.","FXMed Team","General Wellness","5 min read","draft","","",""
"Whole-wheat pumpkin pancakes","whole-wheat-pumpkin-pancakes-500","If you want to prepare the batter ahead of time, keep the dry and wet ingredients separate until ready to cook.","FXMed Team","General Wellness","5 min read","draft","","",""
"Core-strength exercises with a fitness ball [Visual Guide]","core-strength-exercises-with-a-fitness-ball-visual-guide-501","Want to improve your core strength? Check out this slide show of exercises you can do with a fitness ball.","FXMed Team","Exercise & Fitness","5 min read","draft","","",""
"Weight training exercises [Visual Guide]","weight-training-exercises-visual-guide-502","Starting a weight training program? See how to strengthen your body's major muscle groups.","FXMed Team","Exercise & Fitness","5 min read","draft","","",""
"10 Exercise barriers: tips to Overcome them","10-exercise-barriers-tips-to-overcome-them-503","It's not easy to stick with an exercise routine. Get practical tips for overcoming common barriers.","FXMed Team","Exercise & Fitness","5 min read","draft","","",""
"10 Ways to Burn more calories at work","10-ways-to-burn-more-calories-at-work-504","Make workplace physical activity -; from fitness breaks to walking meetings -; part of your routine.","FXMed Team","Exercise & Fitness","5 min read","draft","","",""
"7 Benefits of regular physical activity","7-benefits-of-regular-physical-activity-505","The list of health benefits of regular physical activity keeps growing. Check out seven proven ways exercise can improve your life.","FXMed Team","Exercise & Fitness","5 min read","draft","","",""
"Fitting in fitness","fitting-in-fitness-506","Try these ideas to make fitness a daily part of your busy life.","FXMed Team","Exercise & Fitness","5 min read","draft","","",""
"Food energy density: Feel full with fewer calories","food-energy-density-feel-full-with-fewer-calories-507","Eating foods low in energy density can make you full -; without all of the calories.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"10 Healthy-eating tips to Dining out","10-healthy-eating-tips-to-dining-out-508","Dining out doesn't have to derail your healthy dietary behaviors. Enjoy a healthy restaurant meal with these tips.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"7 Dietary sources of energy","7-dietary-sources-of-energy-509","Looking for more energy to get you through the day? Discover which nutrients can help.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"Stop-smoking products: Know your options","stop-smoking-products-know-your-options-510","Discover about the different types of stop-smoking medications, including how they work and possible side effects.","FXMed Team","Smoking Cessation","5 min read","draft","","",""
"Food safety steps","food-safety-steps-511","Follow these four principles to reduce the risk of foodborne illness -; clean, separate, cook and chill.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
